,function,file,time,lines,test_no
0,load CSV File,train.csv,0.0,100,1
1,interpolate Data,train.csv,0.0,100,1
2,save CSV File,train.csv,0.0,100,1
3,load CSV File,test.csv,0.0,100,1
4,interpolate Data,test.csv,0.0,100,1
5,save CSV File,test.csv,0.015625,100,1
6,load CSV File,ideal.csv,0.0,100,1
7,interpolate Data,ideal.csv,0.0,100,1
8,save CSV File,ideal.csv,0.015625,100,1
9,fill SQL Database,ideal.csv,0.0625,100,1
10,fill SQL Database,train.csv,0.015625,100,1
11,GET SQL Data,ideal.csv,0.0,100,1
12,GET SQL Data,train.csv,0.0,100,1
13,Finding all Ideal Functions,,0.03125,100,1
14,Assigning test data,,0.40625,100,1
15,fill SQL Database,test.csv,0.0,100,1
16,vis results,,0.265625,100,1
17,load CSV File,train.csv,0.0,1000,1
18,interpolate Data,train.csv,0.0,1000,1
19,save CSV File,train.csv,0.015625,1000,1
20,load CSV File,test.csv,0.0,1000,1
21,interpolate Data,test.csv,0.0,1000,1
22,save CSV File,test.csv,0.015625,1000,1
23,load CSV File,ideal.csv,0.0,1000,1
24,interpolate Data,ideal.csv,0.015625,1000,1
25,save CSV File,ideal.csv,0.1875,1000,1
26,fill SQL Database,ideal.csv,0.1875,1000,1
27,fill SQL Database,train.csv,0.046875,1000,1
28,GET SQL Data,ideal.csv,0.046875,1000,1
29,GET SQL Data,train.csv,0.0,1000,1
30,Finding all Ideal Functions,,0.046875,1000,1
31,Assigning test data,,3.953125,1000,1
32,fill SQL Database,test.csv,0.03125,1000,1
33,vis results,,0.109375,1000,1
34,load CSV File,train.csv,0.0,10000,1
35,interpolate Data,train.csv,0.0,10000,1
36,save CSV File,train.csv,0.203125,10000,1
37,load CSV File,test.csv,0.0,10000,1
38,interpolate Data,test.csv,0.0,10000,1
39,save CSV File,test.csv,0.109375,10000,1
40,load CSV File,ideal.csv,0.0,10000,1
41,interpolate Data,ideal.csv,0.03125,10000,1
42,save CSV File,ideal.csv,1.640625,10000,1
43,fill SQL Database,ideal.csv,1.453125,10000,1
44,fill SQL Database,train.csv,0.203125,10000,1
45,GET SQL Data,ideal.csv,0.546875,10000,1
46,GET SQL Data,train.csv,0.0625,10000,1
47,Finding all Ideal Functions,,0.09375,10000,1
48,Assigning test data,,44.15625,10000,1
49,fill SQL Database,test.csv,0.25,10000,1
50,vis results,,0.265625,10000,1
51,load CSV File,train.csv,0.0,100000,1
52,interpolate Data,train.csv,0.015625,100000,1
53,save CSV File,train.csv,1.828125,100000,1
54,load CSV File,test.csv,0.0,100000,1
55,interpolate Data,test.csv,0.015625,100000,1
56,save CSV File,test.csv,0.875,100000,1
57,load CSV File,ideal.csv,0.015625,100000,1
58,interpolate Data,ideal.csv,0.203125,100000,1
59,save CSV File,ideal.csv,15.953125,100000,1
60,fill SQL Database,ideal.csv,15.15625,100000,1
